entry,name,substrates,products
R02129,Retinal <=> all-trans-Dehydroretinal,C00376,C05918
R02224,"Stearoyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl- and enoyl-reducing)",C00412; C00083; C00005; C00080,C02041; C00011; C00006; C00010; C00001
R02343,Acetoin:NAD+ oxidoreductase,C00466; C00003,C00741; C00004; C00080
R02344,"(S,S)-butane-2,3-diol:NAD+ oxidoreductase",C03046; C00003,C00466; C00004; C00080
R02369,all-trans-Retinol 11-cis-trans-isomerase,C00473,C00899
R02434,L-Cysteate + NADH + H+ <=> 3-Sulfino-L-alanine + H2O + NAD+,C00506; C00004; C00080,C00606; C00001; C00003
R02438,L-Rhamnose <=> L-Rhamnofuranose,C00507,C02431
R02460,Bacitracin synthetase 2,C00515,C01667
R02583,Prostaglandin E2 <=> Prostaglandin A2 + H2O,C00584,C05953; C00001
R02592,N-Dimethyl-2-aminoethylphosphonate + Activated methyl group <=> N-Trimethyl-2-aminoethylphosphonate,C05680; C10905,C06459
R02659,"2-Keto-D-gluconic acid <=> 2-Dehydro-D-glucono-1,5-lactone + H2O",C06473,C06440; C00001
R02663,2-Methylpropanoyl-CoA <=> Branched chain fatty acid,C00630,C05996
R02713,4-Methylene-L-glutamate <=> 4-Methylene-2-oxoglutarate,C00651,C06035
R02721,D-Glyceraldehyde 3-phosphate + Pyruvate <=> 5-(2-Hydroxyethyl)-4-methylthiazole,C00118; C00022,C04294
R02798,"Cholic acid <=> 3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate + H2O",C00695,C11637; C00001
R02801,Prostaglandin D2 <=> Prostaglandin J2 + H2O,C00696,C05957; C00001
R02818,Serine <=> Cysteine,C00716,C00736
R02854,D-Serine + Amino acid(Arg-) <=> D-Lombricine + Ornithine,C00740; C02385,C01726; C01602
R02856,(R)-Acetoin + NADP+ <=> Diacetyl + NADPH + H+,C00810; C00006,C00741; C00005; C00080
R02861,Nicotine + CO2 + H+ <=> 1-Methylpyrrolinium + Nicotinate,C00745; C00011; C00080,C06178; C00253
R02876,Squalene <=> Hopanoid,C00751,C06084
R02895,D-Proline + L-Glutamine <=> Linatine,C00763; C00064,C05939
R02904,Rhodopsin <=> 11-cis-Retinal,C00778,C02110
R02905,Rhodopsin + hn <=> Bathorhodopsin,C00778; C00205,C05914
R02915,Medicarpin:NADP+ 2'-oxidoreductase,C10503; C00006; C00001,C00786; C00005; C00080
R02959,D-Glutamine <=> D-Glutamyl-peptide,C00819,C02671
R02962,"Dopaquinone <=> 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole",C00822,C05604
R03076,protein-N(pi)-phosphohistidine:sugar phosphotransferase,C04261; C11477,C00615; C00934
R03078,UDP-L-arabinofuranose + Arabinan <=> Arabinan + UDP,C18094; C02474,C02474; C00015
R03079,UDP-L-arabinose <=> Pentosan + UDP,C00935,C06016; C00015
R03082,(R)-Lactaldehyde:NAD+ oxidoreductase (glutathione-formylating),C00937; C00051; C00003,C03451; C00004; C00080
R03092,Indole-3-acetate + Oxygen <=> 3-Methyldioxyindole + CO2,C00954; C00007,C05834; C00011
R03128,Dihydroxyfumarate <=> 2-Hydroxy-3-oxosuccinate,C00975,C03459
R03166,Hydroxymethylbilane <=> Uroporphyrinogen I + H2O,C01024,C05766; C00001
R03175,(S)-2-Methylbutanoyl-CoA <=> Branched chain fatty acid,C15980,C05996
R03185,monodehydroascorbate:acceptor oxidoreductase,C01041; C00028,C05422; C00030
R03195,Uroporphyrinogen III + Acceptor <=> Uroporphyrin III + 6 H+ + Reduced acceptor,C01051; C00028,C02469; C00080; C00030
R03201,"(S)-2,3-Epoxysqualene <=> Triterpenoid",C01054,C06085
R03204,"2,5-Dihydroxypyridine:oxygen 5,6-oxidoreductase",C01059; C00007; C00001,C01596; C00058
R03249,5-Amino-2-oxopentanoic acid <=> 1-Pyrroline-2-carboxylate + H2O,C01110,C03564; C00001
R03250,5-Amino-2-oxopentanoic acid + Urea <=> 5-Guanidino-2-oxopentanoate + H2O,C01110; C00086,C03771; C00001
R03257,"L-Galactono-1,4-lactone + Acceptor <=> D-Galacturonolactone + Reduced acceptor",C01115; C00028,C06430; C00030
R03311,7-Dehydrocholesterol + hn <=> Vitamin D3,C01164; C00205,C05443
R03314,L-Glutamate 5-semialdehyde <=> (S)-1-Pyrroline-5-carboxylate + H2O,C01165,C03912; C00001
R03445,"4-(2-Aminophenyl)-2,4-dioxobutanoate <=> 4-Hydroxy-2-quinolinecarboxylic acid + H2O",C01252,C01717; C00001
R03475,1-acyl-2-oleoyl-sn-glycero-3-phosphocholine:NAD+ delta12-oxidoreductase,C01282; C00003,C04636; C00004; C00080
R03476,1-acyl-2-oleoyl-sn-glycero-3-phosphocholine:NADH:oxygen oxidoreductase (12-hydroxylating),C01282; C00007; C00004; C00080,C04792; C00003; C00001
R03506,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al:NAD+ 26-oxidoreductase",C01301; C00003; C00001,C04722; C00004; C00080
R03521,Prostaglandin I2 + H2O <=> 6-Keto-prostaglandin F1alpha,C01312; C00001,C05961
R03533,donor:sulfur oxidoreductase,C00087; C00030,C00283; C00028
R03551,Gallate + Methanol <=> 3-O-Methylgallate + H2O,C01424; C00132,C05616; C00001
R03564,Tropate + Tropine <=> L-Hyoscyamine + H2O,C01456; C00729,C02046; C00001
R03602,Selenium <=> Selenite,C01529,C05684
R03603,Selenium <=> Selenate,C01529,C05697
R03666,Cadaverine <=> Piperideine,C01672,C06181
R03672,"L-Dopachrome + 3,4-Dihydroxy-L-phenylalanine <=> 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole + Dopaquinone",C01693; C00355,C05604; C00822
R03674,"L-Dopachrome <=> 5,6-Dihydroxyindole + CO2",C01693,C05578; C00011
R03677,Ergosterol + hn <=> Vitamin D2,C01694; C00205,C05441
R03682,Hemoglobin + Oxygen <=> Oxyhemoglobin,C01708; C00007,C05781
R03684,Hemoglobin <=> Globin + Heme,C01708,C06258; C00032
R03694,Mesaconate + H2O <=> L-threo-3-Methylmalate,C01732; C00001,C06029
R03695,Mesaconate + CoA <=> 2-Methylfumaryl-CoA + H2O,C01732; C00010,C06028; C00001
R03714,"11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al:(acceptor) delta4-oxidoreductase",C05473; C00028,C01780; C00030
R03724,Desmosterol + Acceptor <=> 7-Dehydrodesmosterol + Reduced acceptor,C01802; C00028,C05107; C00030
R03725,Desmosterol + S-Adenosyl-L-methionine <=> 24-Methylenecholesterol + S-Adenosyl-L-homocysteine,C01802; C00019,C15781; C00021
R03740,Trichodiene <=> Nivalenol,C01860,C06080
R03765,Cycloartenol <=> Zymosterol,C01902,C05437
R03798,Aristolochene <=> PR-toxin,C02004,C06079
R03823,beta-Carotene <=> Lycopene,C02094,C05432
R03836,11-cis-Retinal <=> Iodopsin,C02110,C05917
R03863,Leukotriene B4 + NAD+ <=> 12-Keto-leukotriene B4 + H+ + NADH,C02165; C00003,C05949; C00080; C00004
R03864,Leukotriene B4 + NADP+ <=> 12-Keto-leukotriene B4 + H+ + NADPH,C02165; C00006,C05949; C00080; C00005
R03872,Methylmalonate <=> (S)-Methylmalonate semialdehyde,C02170,C06002
R03876,ATP + Ubiquitin + Protein lysine <=> AMP + Diphosphate + Protein N-ubiquityllysine,C00002; C00496; C02188,C00020; C00013; C03635
R03878,Thromboxane A2 + H2O <=> Thromboxane B2,C02198; C00001,C05963
R03892,"2-Maleylacetate <=> 3-Hydroxy-cis,cis-muconate",C02222,C03676
R03897,2-Methylmaleate + H2O <=> D-threo-3-Methylmalate,C02226; C00001,C06031
R03911,N-Acetylindoxyl <=> Indoxyl,C02298,C05658
R03927,Pantothenate + 2 Reduced acceptor <=> Pantothenol + 2 Acceptor + H2O,C00864; C00030,C05944; C00028; C00001
R03954,"Xanthurenic acid + H2O <=> 4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate",C02470; C00001,C05645
R03978,lithocholate:FAD oxidoreductase (7alpha-dehydroxylating),C02528; C01352,C03990; C00016; C00001
R03995,(R)-2-Methylmalate + CO2 <=> Parapyruvate + H2O,C02612; C00011,C06033; C00001
R04092,3-Dehydrosphinganine + FAD <=> 3-Ketosphingosine + FADH2,C02934; C00016,C06121; C01352
R04098,3-Methylbutanoyl-CoA <=> Branched chain fatty acid,C02939,C05996
R04124,Transferrin[Fe(II)]2 <=> Apotransferrin + 2 Fe2+,C03029,C05780; C14818
R04155,Transferrin[Fe(III)]2 <=> Apotransferrin + 2 Fe3+,C03179,C05780; C14819
R04175,6-Amino-2-oxohexanoate <=> Delta1-Piperideine-2-carboxylate + H2O,C03239,C04092; C00001
R04250,2-Aminoethylphosphonate <=> N-Monomethyl-2-aminoethylphosphonate,C03557,C05679
R04252,2-Aminoethylphosphonate <=> Ciliatocholate,C03557,C05683
R04269,L-threo-3-Methylaspartate + 2-Oxoglutarate <=> Methyloxaloacetate + L-Glutamate,C03618; C00026,C06030; C00025
R04282,4-Imidazolone-5-propanoate + H2O <=> Formylisoglutamine,C03680; C00001,C16674
R04283,4-Imidazolone-5-propanoate + H2O <=> 4-Oxoglutaramate + Formate + Ammonia,C03680; C00001,C05572; C00058; C00014
R04289,CMP-N-glycoloylneuraminate <=> Glycolipid,C03691,C05005
R04293,Quinolinate + H2O <=> 2-Amino-3-carboxymuconate semialdehyde,C03722; C00001,C04409
R04299,2-Amino-2-deoxy-D-gluconate <=> Aminosugar,C03752,C05383
R04336,"L-2-Amino-6-oxoheptanedioate <=> 2,3,4,5-Tetrahydrodipicolinate + H2O",C03871,C03972; C00001
R04416,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] hydro-lyase,C04619,C04180; C00001
R04443,L-1-Pyrroline-3-hydroxy-5-carboxylate + H2O <=> L-4-Hydroxyglutamate semialdehyde,C04281; C00001,C05938
R04446,1-Pyrroline-4-hydroxy-2-carboxylate + H2O <=> 2-Oxo-4-hydroxy-5-aminovalerate,C04282; C00001,C05941
R04447,1-Pyrroline-4-hydroxy-2-carboxylate <=> Pyrrole-2-carboxylate + H2O,C04282,C05942; C00001
R04453,"4-carboxy-2-hydroxy-cis,cis-muconate-6-semialdehyde:NADP+ 6-oxidoreductase",C04484; C00006; C00001,C04324; C00005; C00080
R04458,"6,7-Dimethyl-8-(D-ribityl)lumazine <=> 7-Hydroxy-6-methyl-8-ribityllumazine",C04332,C05995
R04479,1-(5-Phosphoribosyl)imidazole-4-acetate + H2O <=> (1-Ribosylimidazole)-4-acetate + Orthophosphate,C04437; C00001,C05131; C00009
R04489,"2-Hydroxy-2-hydropyrone-4,6-dicarboxylate <=> 4-Carboxy-2-hydroxymuconate semialdehyde",C05375,C04484
R04500,"2-Chloro-2,5-dihydro-5-oxofuran-2-acetate <=> cis-4-Carboxymethylenebut-2-en-4-olide + Hydrochloric acid",C04522,C04431; C01327
R04504,"1-Phosphatidyl-1D-myo-inositol 3-phosphate + 2 ATP <=> Phosphatidylinositol-3,4,5-trisphosphate + 2 ADP",C04549; C00002,C05981; C00008
R04546,"Propanoyl-CoA + Chenodeoxycholoyl-CoA <=> CoA + 3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA",C00100; C05337,C00010; C04644
R04578,"1,6,6-Trimethyl-2,7-dioxabicyclo[3.2.2]nonan-3-one <=> 4,5-Dihydro-5,5-dimethyl-4-(3-oxobutyl)furan-2(3H)-one",C04718,C06066
R04593,3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate <=> 5-Pyridoxolactone + H2O,C04773,C06052; C00001
R04616,20-OH-Leukotriene B4 <=> 20-COOH-Leukotriene B4,C04853,C05950
R04622,"7,8-Dihydroneopterin + Acceptor <=> Neopterin + Reduced acceptor",C04874; C00028,C05926; C00030
R04644,"1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide + UDP-alpha-D-galactose <=> Ceramidepentasaccharide + UDP",C04910; C00052,C06129; C00015
R04645,"1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide + UDP-N-acetyl-D-galactosamine <=> Ceramidepentasaccharide + UDP",C04910; C00203,C06129; C00015
R04646,"1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide + GDP-L-fucose <=> Fuc-alpha1->2Gal-beta1->3GlcNAc-beta1->3Gal-beta1->4Glc-beta1-1'Cer + GDP",C04910; C00325,C06131; C00035
R04667,"7-Dehydrodesmosterol + Reduced acceptor <=> 5alpha-Cholesta-7,24-dien-3beta-ol + Acceptor",C05107; C00030,C05439; C00028
R04670,"24,25-Dihydrolanosterol + NADPH <=> 4alpha-Methylcholesta-8-en-3beta-ol + NADP+",C05109; C00005,C05110; C00006
R04684,Aminoacyl-tRNA + Phosphatidylglycerol <=> Aminoacyl-phosphatidylglycerol + tRNA,C05156; C00344,C05976; C00066
R04701,6-Hydroxyprotopine <=> Dihydrosanguinarine + 2 H2O,C05190,C05191; C00001
R04718,S-Adenosyl-L-methionine + Histone L-arginine <=> S-Adenosyl-L-homocysteine + Histone N(omega)-methyl-L-arginine,C00019; C05206,C00021; C05320
R04719,S-Adenosyl-L-methionine + [Myeline basic protein] L-arginine <=> S-Adenosyl-L-homocysteine + [Myeline basic protein] N(omega)-methyl-L-arginine,C00019; C05207,C00021; C05321
R04760,"7alpha-Hydroxytestosterone + Acceptor <=> 7alpha-Hydroxyandrost-4-ene-3,17-dione + Reduced acceptor",C05291; C00028,C05296; C00030
R04763,"Desmosterol + S-Adenosyl-L-methionine <=> Ergosta-5,7,22,24(28)-tetraen-3beta-ol + S-Adenosyl-L-homocysteine",C01802; C00019,C05440; C00021
R04774,L-Selenomethionine <=> Selenohomocysteine + Activated methyl group,C05335,C05698; C10905
R04775,L-Selenomethionine <=> Selenomethionine Se-oxide,C05335,C05708
R04795,Phytyl diphosphate + Chlorophyllide <=> Bacteriopheophytin + Magnesium cation + Diphosphate,C05427; C02139,C05798; C00305; C00013
R04799,all-trans-zeta-Carotene + 2 Oxygen + 2 Reduced acceptor <=> Lycopene + 4 H2O + 2 Acceptor,C05430; C00007; C00030,C05432; C00001; C00028
R04803,beta-Zeacarotene + Oxygen + Reduced acceptor <=> gamma-Carotene + 2 H2O + Acceptor,C05434; C00007; C00030,C05435; C00001; C00028
R04808,"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane <=> 5beta-Cyprinolsulfate",C05446,C05468
R04861,3-Sulfinylpyruvate + H2O <=> Sulfite + Pyruvate,C05527; C00001,C00094; C00022
R04874,Imidazol-5-yl-pyruvate <=> Imidazole-4-acetaldehyde + CO2,C03277,C05130; C00011
R04875,Hydantoin-5-propionate + H2O <=> N-Carbamyl-L-glutamate,C05565; C00001,C05829
R04876,Imidazol-5-yl-pyruvate + NADH + H+ <=> Imidazole lactate + NAD+,C03277; C00004; C00080,C05568; C00003
R04877,Ergothioneine <=> Thiourocanic acid + Trimethylamine,C05570,C05571; C00565
R04878,Ergothioneine <=> Hercynine,C05570,C05575
R04879,Formylisoglutamine + H2O <=> Isoglutamine,C16674; C00001,C16673
R04886,"Indole-5,6-quinone + Oxygen <=> Eumelanin + H2O",C05579; C00007,C17937; C00001
R04899,3-(2-Hydroxyphenyl)propanoate <=> Phenylpropanoate,C01198,C05629
R04914,"4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate <=> 6-Hydroxykynurenate + H2O",C05652,C05663; C00001
R04918,"5-(2'-Formylethyl)-4,6-dihydroxypicolinate + CO2 <=> 5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate",C05654; C00011,C05656
R04923,Diacylglyceryl-2-aminoethylphosphonate <=> Diacylglyceryl-N-trimethyl-2-aminoethylphosphonate,C05675,C05676
R04924,(2-Amino-1-hydroxyethyl)phosphonate <=> Lipophosphonoglycan,C05678,C05677
R04925,N-Monomethyl-2-aminoethylphosphonate <=> N-Dimethyl-2-aminoethylphosphonate,C05679,C05680
R04932,2 L-Selenocysteine <=> Selenocystine,C05688,C05704
R04933,L-Selenocysteine <=> Selenocysteine seleninic acid,C05688,C05705
R04934,L-Selenocysteine <=> Se-Propenylselenocysteine Se-oxide,C05688,C05706
R04940,"3'-Phosphoadenylylselenate + NADPH <=> Adenosine 3',5'-bisphosphate + Selenite + NADP+ + H+",C05696; C00005,C00054; C05684; C00006; C00080
R04943,2 Selenohomocysteine <=> Selenohomocystine,C05698,C05707
R04971,Uroporphyrinogen I + Reduced acceptor <=> Uroporphyrin I + Acceptor + 6 H+,C05766; C00030,C05767; C00028; C00080
R04973,Coproporphyrinogen I + Acceptor <=> Coproporphyrin I + Reduced acceptor + 6 H+,C05768; C00028,C05769; C00030; C00080
R04975,Cobyrinate + 1-Aminopropan-2-ol + 6 Ammonia <=> Cobinamide + 7 H2O,C05773; C05771; C00014,C05774; C00001
R04977,Myoglobin <=> Globin + Heme,C05782,C06258; C00032
R04978,(3Z)-Phycocyanobilin <=> (3Z)-Phycoerythrobilin,C05786,C05912
R04999,cis-2-Hydroxycinnamate <=> Coumarin + H2O,C05838,C05851; C00001
R05001,"2-Hydroxyphenylacetate <=> 2,6-Dihydroxyphenylacetate",C05852,C06207
R05010,(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol + Dolichyl phosphate D-mannose <=> (alpha-D-Mannosyl)9-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol + Dolichyl phosphate,C05868; C03862,C05869; C00110
R05040,(3Z)-Phycocyanobilin + Acceptor <=> (3Z)-Phytochromobilin + Reduced acceptor + 2 H+,C05786; C00028,C05913; C00030; C00080
R05041,Bathorhodopsin <=> Lumirhodopsin,C05914,C05915
R05043,all-trans-Dehydroretinal <=> 11-cis-Dehydroretinal,C05918,C05919
R05044,all-trans-Dehydroretinal <=> Porphyropsin,C05918,C05920
R05045,11-cis-Dehydroretinal <=> Porphyropsin,C05919,C05920
R05056,Prostaglandin A2 <=> Prostaglandin C2,C05953,C05955
R05057,Prostaglandin B2 <=> Prostaglandin C2,C05954,C05955
R05058,Prostaglandin J2 <=> Delta-12-Prostaglandin J2,C05957,C05958
R05059,6-Keto-prostaglandin F1alpha + Acceptor <=> 6-Keto-prostaglandin E1 + Reduced acceptor,C05961; C00028,C05962; C00030
R05060,Thromboxane B2 + Acceptor <=> 11-Dehydro-thromboxane B2 + Reduced acceptor,C05963; C00028,C05964; C00030
R05077,Parapyruvate + Ammonia <=> 4-Hydroxy-4-methylglutamate + H2O,C06033; C00014,C06034; C00001
R05079,4-Methylene-2-oxoglutarate + Ammonia <=> 4-Methyl-L-glutamate + H2O,C06035; C00014,C06234; C00001
R05080,Trigalactosyl-diacylglycerol + UDP <=> Digalactosyl-diacylglycerol + UDP-alpha-D-galactose,C06036; C00015,C06037; C00052
R05088,Dimethylallyltryptophan <=> Elymoclavine,C06067,C06068
R05089,Iridodial <=> Iridotrial,C06069,C06070
R05090,Iridotrial <=> 7-Deoxyloganetin,C06070,C20790
R05098,6-Hydroxyhexan-6-olide <=> Adipate semialdehyde,C03241,C06102
R05106,Ceramidepentasaccharide + GDP-L-fucose <=> Type A glycolipid + GDP,C06129; C00325,C06132; C00035
R05107,Gal-alpha1->3(Fuc-alpha1->2)Gal-beta1->3GlcNAc-beta1->3LacCer + UDP <=> Fuc-alpha1->2Gal-beta1->3GlcNAc-beta1->3Gal-beta1->4Glc-beta1-1'Cer + UDP-alpha-D-galactose,C06130; C00015,C06131; C00052
R05108,Fuc-alpha1->2Gal-beta1->3GlcNAc-beta1->3Gal-beta1->4Glc-beta1-1'Cer + UDP-N-acetyl-D-galactosamine <=> Type A glycolipid + UDP,C06131; C00203,C06132; C00015
R05119,3-Butyn-1-al + NAD+ + H2O <=> 3-Butynoate + NADH + H+,C06145; C00003; C00001,C06144; C00004; C00080
R05120,3-Butyn-1-al + PQQ + H2O <=> 3-Butynoate + PQQH2,C06145; C00113; C00001,C06144; C01359
R05121,3-Butyn-1-al + PQQH2 <=> 3-Butyn-1-ol + PQQ,C06145; C01359,C06146; C00113
R05122,"2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine + 2 S-Adenosyl-L-methionine <=> 6-(3'-Triphosphoryl-1'-methylglyceryl)-7-methyl-7,8-dihydrobiopterin + 2 S-Adenosyl-L-homocysteine + H2O",C06148; C00019,C06149; C00021; C00001
R05125,Codeinone <=> Neopinone,C06171,C06172
R05128,Anabasine + CO2 <=> Piperideine + Nicotinate,C06180; C00011,C06181; C00253
R05129,Piperideine + Acetoacetyl-CoA + H2O <=> Pelletierine + CoA + CO2,C06181; C00332; C00001,C06182; C00010; C00011
R05130,Piperideine + Pelletierine <=> L-(+)-Anaferine,C06181; C06182,C06183
R05131,Pelletierine <=> N-Methylpelletierine,C06182,C06184
R05153,"6-Chlorobenzene-1,2,4-triol:oxygen 7S,8S-oxidoreductase",C06328; C00007,C06329
R05193,n ATP + Calmodulin + n Ubiquitin <=> n AMP + n Diphosphate + (Ubiquitin)n-calmodulin,C00002; C00391; C00496,C00020; C00013; C03330
R05228,"Penicillin-N,2-oxoglutarate:oxygen oxidoreductase (ring-expanding)",C03112; C00001; C00042; C00011,C06564; C00026; C00007
R05232,p-cumic alcohol:NAD+ oxidoreductase,C06576; C00003,C06577; C00004; C00080
R05250,"1,2,3-Trihydroxybenzene + NADP+ + H2O <=> Resorcinol + Oxygen + NADPH + H+",C01108; C00006; C00001,C01751; C00007; C00005; C00080
R05251,"2,2-Bis(4'-chlorophenyl)ethanol + H2O <=> Bis(4'-chlorophenyl)acetate + 4 H+",C06639; C00001,C06640; C00080
R05255,"1-Chloro-2,2-bis(4'-chlorophenyl)ethylene + Reduced acceptor + 2 H+ <=> 1-Chloro-2,2-bis(4'-chlorophenyl)ethane + Acceptor",C06637; C00030; C00080,C06638; C00028
