compoundA,compoundB,correlation,fdr
Docosanol,Heptadecanoic acid,0.896425009,0.004772968
Docosanoic acid,Heptadecanoic acid,0.896722436,0.004772968
Tetracosanoic acid,Heptadecanoic acid,0.911469102,0.00283913
3-trans-Caffeoylquinic acid,Caffeic acid,0.928785682,0.001301718
Nonadecanoic acid,Octadecanoic acid,0.873938262,0.009292238
Eicosanoic acid,Octadecanoic acid,0.942649245,0.000676338
Docosanol,Octadecanoic acid,0.914477766,0.002538001
Docosanoic acid,Octadecanoic acid,0.914681077,0.002538001
Tetracosanoic acid,Octadecanoic acid,0.958066344,0.000208626
Eicosanoic acid,Nonadecanoic acid,0.844248652,0.019029163
Docosanol,Nonadecanoic acid,0.813930213,0.035088178
Docosanoic acid,Nonadecanoic acid,0.805821836,0.039580587
Tetracosanoic acid,Nonadecanoic acid,0.842152596,0.019726578
Adenosine,Galactosylglycerol,0.786096394,0.051717205
Galactinol,Galactosylglycerol,0.765747249,0.067002076
Docosanol,Eicosanoic acid,0.990676582,3.11344E-07
Docosanoic acid,Eicosanoic acid,0.993718922,7.23758E-08
Tetracosanoic acid,Eicosanoic acid,0.980122983,1.12269E-05
Docosanoic acid,Docosanol,0.996812224,3.67451E-09
Tetracosanoic acid,Docosanol,0.975660861,2.54842E-05
Tetracosanoic acid,Docosanoic acid,0.975153387,2.54842E-05
Galactinol,Adenosine,0.782192767,0.054582871
